"Category","Total"
"02/08",0
"02/09",0
"02/10",0
"02/11",0
"02/12",0
"02/13",0
"02/14",0
"02/15",0
"02/16",0
"02/17",0
"02/18",0
"02/19",20
"02/20",1
"02/21",1
